dup_carrying_indid,anc_gc,derived_pop,repl_id,init_dupl_genotype_fitness,rel_sel_adv_dupG_init_pop_mean,rel_sel_adv_dupG_init_pop_min,rel_sel_adv_dupG_init_pop_max,rel_sel_adv_dupG_init_pop_std,rel_sel_adv_dupG_init_pop_median,rel_sel_adv_dupG_init_pop_MAD,rel_sel_adv_dupG_init_pop_Q75,rel_sel_adv_dupG_init_pop_IQR,pop_freq_dupl_carrying_genotype,rank_in_pop_dupl_genotype_fitness,max_dup_freq_attained,longest_time_window_dupl_nearly_fixed,t2fixation,simulated_geners
424,1,1,22,0.6044374047,8.46695832442,-0.146271658169,63.2118670447,2.22113167882,8.24966098326,0.592224425924,8.69456127574,0.807367464231,0.001,2,1.0,1853,16,1869
441,1,1,23,0.578331527039,8.0574121995,-0.183144504678,60.438532482,2.12526643768,7.8501646646,0.566646031386,8.27584954699,0.772496961371,0.001,3,1.0,1831,21,1852
987,1,1,24,0.579067615121,8.06904926729,-0.182104828356,60.516730141,2.12797481687,7.86142896617,0.567367246417,8.28765565123,0.773480179093,0.001,3,1.0,1990,19,2009
369,1,1,25,0.594218209961,8.30661283495,-0.160705603043,62.1262400323,2.1836338759,8.09327740056,0.582211715442,8.53065578475,0.793717340531,0.001,2,1.0,1831,19,1850
961,1,1,26,0.577670568574,8.04700026854,-0.184078065325,60.3683161506,2.12283324334,7.840050066,0.565998427935,8.26524844538,0.771614096817,0.001,3,1.0,1825,23,1848
694,1,2,0,0.616344596669,8.86761196807,2.4150620461,324.200723412,10.223144053,8.35923531656,0.616277187912,8.77490796308,0.810582832664,0.001,1,1.0,2013,15,2028
337,1,2,1,0.611835104412,8.79522184754,2.39007570577,321.821388618,10.1483633451,8.29075836484,0.611768188852,8.70338973772,0.804652194143,0.001,1,1.0,1878,10,1888
716,1,2,2,0.514864893546,7.2402364064,1.85278002974,270.6571813,8.53976458464,6.81752950334,0.515890148689,7.16549212085,0.677122256129,0.001,1,1.0,1851,31,1901
365,1,2,3,0.602025878434,8.63792884391,2.33572442968,316.645765434,9.98567661285,8.14180459012,0.601960035695,8.54782046422,0.791751634582,0.001,1,1.0,2036,12,2048
457,1,2,4,0.612694068173,8.80900694013,2.39483507992,322.274602028,10.162608093,8.30380178893,0.612627058669,8.7170124607,0.805781856481,0.001,1,1.0,2029,13,2042
734,1,2,5,0.493132889494,6.89166994284,1.73236663986,259.190765472,8.17910947145,6.48755831095,0.4941148695,6.82083372585,0.648541508445,0.001,1,1.0,1860,26,1890
564,1,2,6,0.628394342603,9.06078537135,2.48182766752,330.558507866,10.4229815951,8.54221154173,0.628325615982,8.96601072949,0.826430001999,0.001,1,1.0,1826,16,1842
312,1,2,7,0.599395808452,8.59585858421,2.32115165299,315.258066628,9.94205027103,8.10186679559,0.59933025336,8.50610890846,0.788292709838,0.001,1,1.0,2004,12,2016
166,1,2,8,0.69240661867,10.0871334099,2.83650895403,364.333182937,11.4844538953,9.51424237983,0.692330891114,9.98121246963,0.910615459843,0.001,1,1.0,1687,74,1817
792,1,2,9,0.582971847402,8.33258903714,2.23014923919,306.5923234,9.66964275995,7.85164180703,0.584132724542,8.24563334249,0.766692811107,0.001,1,1.0,1974,12,1986
168,1,2,10,0.928205735226,13.8678426799,4.14303231419,488.747420846,15.3934205617,13.0948682687,0.928104218647,13.7208650513,1.22072561068,0.001,1,1.0,1810,12,1822
662,1,2,11,0.820725331737,12.1455552425,3.54750142345,432.037740651,13.611336134,11.4627709101,0.820635570141,12.0162811909,1.07937323996,0.001,1,1.0,1828,12,1840
323,1,2,12,0.623677164457,8.9851634233,2.4556905745,328.069592162,10.3447508068,8.47058086541,0.623608953746,8.89119871284,0.820226226312,0.001,1,1.0,1827,12,1839
199,1,2,13,0.59836416296,8.5793078536,2.31543547833,314.713741485,9.9249405085,8.08620118746,0.598298720698,8.48974754212,0.786935945895,0.001,1,1.0,1827,15,1842
943,1,2,14,0.591304054443,8.46601321572,2.27631660105,310.988629901,9.80784660109,7.97815514128,0.592481523582,8.37777785612,0.777650875836,0.001,1,1.0,1796,13,1809
